NUMBER;NAME;DESIG;FAM;S;CLASS;S;F;DIA;S;H;B;S;F;ALBEDO;F;PERIOD;P;DESC;F;AMIN;AMAX;U;NOTES;BIN;PRI;SAM;SD;WF
4077;Asuka;1982 XV1;EOS;A;S;C;;21.4;M;11.1;;A;;0.14;;7.919;;;;;0.4;3;-;;;Y;;
4078;Polakis;1983 AC;EOS;A;S;C;;20.44;M;11.2;;A;;0.14;;4.831;;;;0.32;0.38;3;;;;;;
4100;Sumiko;1988 BF;EOS;A;S;C;;16.23;M;11.7;;A;;0.14;;6.2108;;;;;0.31;3;;;;;;
4170;Semmelweis;1980 PT;EOS;A;S;C;;17;M;11.6;;A;;0.14;;5.31;;;;0.36;0.5;3;-;;;;;
4202;Minitti;1985 CB2;EOS;A;S;C;;16.24;M;11.7;;A;;0.14;;5.005;;;;;0.5;3;-;;;Y;;
4207;Chernova;1986 RO2;EOS;A;S;C;;17;M;11.6;;A;;0.14;;10.288;;;;0.08;0.1;2;;;;;;
4223;Shikoku;1988 JM;EOS;A;S;C;;24.57;M;10.8;;A;;0.14;;9.137;;;;0.17;0.19;3;;;;;;
4271;Novosibirs;k                    1976 GQ6;EOS;A;S;C;;17;M;11.6;;A;;0.14;;8.85;;;;;0.52;3;;;;Y;;
4290;Heisei;1989 UK3;EOS;A;C;C;;17.8;M;11.5;;A;;0.14;;10.63;;;;;0.3;3;-;;;;;
4357;Korinthos;2069 T-2;EOS;A;S;C;;16.23;M;11.7;;A;;0.14;;6.619;;;;;0.12;2;+;;;;;
4455;Ruriko;1988 XA;EOS;A;S;C;;16.23;M;11.7;;A;;0.14;;4.23;;;;;0.41;2;;;;;;
4493;Naitomitsu;1988 TG1;EOS;A;S;D;;20.63;M;11.2;;D;;0.1374;;5.04;;;;;0.07;1;+;;;;;
4498;Shinkoyama;1989 AG1;EOS;A;S;C;;16.23;M;11.7;;A;;0.14;;5.2068;;;;0.44;0.75;3;;;;;;
4505;Okamura;1990 DV1;EOS;A;S;D;;19.19;M;11.4;;D;;0.1321;;6.6687;;;;;0.5;3;;;;Y;;
4513;Louvre;1971 QW1;EOS;A;S;C;;12.09;T;12.34;;A;;0.14;;2.937;;;;;0.24;2;;;;;;Y
4529;Webern;1984 ED;EOS;A;S;C;;9.94;T;12.77;;A;;0.14;;3.469;;;;;0.49;2;;;;Y;;Y
4542;Mossotti;1989 BO;EOS;A;S;C;;17.8;M;11.5;;A;;0.14;;2.934;;;;0.1;0.24;3;;;;;;
4559;* Strauss;1989 AP6;EOS;A;S;C;;11.76;M;12.4;;A;;0.14;S;10.0802;;;;;;2;N;;;Y;;
4574;* Yoshinaka;1986 YB;EOS;A;S;C;;12.32;M;12.3;;A;;0.14;S;7.0274;;;;;;2;N;;;Y;;
4575;Broman;1987 ME1;EOS;A;S;C;;17;M;11.6;;A;;0.14;;10.774;;;;;0.65;3;;;;Y;;
4576;Yanotoyohi;ko                   1988 CC;EOS;A;S;C;;17.8;M;11.5;;A;;0.14;;9.4;;;;;0.27;3;;;;;;
4600;Meadows;1985 RE4;EOS;A;S;C;;14.81;M;11.9;;A;;0.14;;11.682;;;;;0.16;2;;;;;;
4668;Rayjay;1987 DX5;EOS;A;S;C;;13.5;M;12.1;;A;;0.14;;6.506;;;;;0.63;3;;;;;;
4714;Toyohiro;1989 SH;EOS;A;S;C;;16.33;T;11.69;;A;;0.14;;14.706;;;;;0.07;2;;;;;;Y
4749;Ledzeppeli;n                    1989 WE1;EOS;A;S;C;;15.5;M;11.8;;A;;0.14;;8.1938;;;;;0.21;3;-;;;;;
4756;Asaramas;1950 HJ;EOS;A;S;C;;10.78;T;12.59;;A;;0.14;;16.536;;;;;0.16;2;;;;;;Y
4800;Veveri;1989 TG17;EOS;A;S;W;;14.12;1 W;11.8;;W;;0.1687;S;6.2157;;;;;;;N;;;Y;;
4958;Wellnitz;1991 NT1;EOS;A;S;D;;27.61;M;11.5;;D;;0.0582;;;;;;;0.14;;N;;;;;
4976;Choukyongc;hol                  1991 PM;EOS;A;S;C;;13.67;T;12.07;;A;;0.14;;4.416;;;;0.78;0.88;3;;;;Y;;
4998;Kabashima;1986 VG;EOS;A;S;C;;12.12;T;12.33;;A;;0.14;;6.138;;;;;0.77;2;;;;;;Y
5039;Rosenkaval;ier                  1967 GM1;EOS;A;S;C;;10.11;T;12.73;;A;;0.14;;8.715;;;;;0.22;2;;;;;;Y
5042;Colpa;1974 ME;EOS;A;S;C;;17.8;M;11.5;;A;;0.14;;;;;;;0.1;;N;;;;;
5101;Akhmerov;1985 UB5;EOS;A;S;C;;11.76;M;12.4;;A;;0.14;;4.27;;;;;0.33;2;;;;;;Y
5191;Paddack;1990 VO3;EOS;A;S;C;;11.91;T;12.37;;A;;0.14;;5.865;;;;;0.08;1;;;;;;Y
5212;Celiacruz;1989 SS;EOS;A;S;C;;11.08;T;12.53;;A;;0.14;;5.598;;;;;0.26;2;;;;;;Y
5213;* Takahashi;1990 FU;EOS;A;S;C;;12.32;M;12.3;;A;;0.14;S;95.977;;;;;;2;N;;;Y;;
5281;Lindstrom;1988 SO1;EOS;A;S;C;;17;M;11.6;;A;;0.14;;;;;;;;;;;Y;Y;;
5403;Takachiho;1990 DM;EOS;A;S;C;;16.24;M;11.7;;A;;0.14;;3.959;;;;;0.29;3;-;;;;;
5449;1992 US5;1992 US5;EOS;A;S;C;;10.73;M;12.6;;A;;0.14;;3.329;;;;0.24;0.41;2;;;;Y;;
5471;Tunguska;1988 PK1;EOS;A;S;C;;17.8;M;11.5;;A;;0.14;;5.17;;;;;0.25;2;;;;;;
5571;Lesliegree;n                    1978 LG;EOS;A;S;C;;14.14;M;12;;A;;0.14;;6.953;;;;;0.16;2;;;;;;
