NUMBER;NAME;DESIG;FAM;S;CLASS;S;F;DIA.;S;H;B;S;F;ALBEDO;F;PERIOD;P;DESC;F;AMIN;AMAX;U;NOTES;BIN;PRI;SAM;SD;WF
10507;* 1988 ER1;1988 ER1;V;A;S;C;;5.93;M;13.5;;A;;0.2;S;3.7294;;;;;;2;N;;;Y;;
10777;* 1991 EB5;1991 EB5;V;A;S;C;;4.5;M;14.1;;A;;0.2;S;5.3832;;;;;;2;N;;;Y;;
11031;1988 RC5;1988 RC5;V;A;S;C;;3.59;T;14.59;;A;;0.2;;3.408;;;;;0.32;2;;;;;;Y
11149;Tateshina;1997 XZ9;V;A;S;C;;4.5;M;14.1;;A;;0.2;;12.85;;;;;0.42;3;-;;;;;
11544;1992 UD3;1992 UD3;V;A;S;C;;4.74;T;13.98;;A;;0.2;;14.464;;;;;0.36;2;;;;;;Y
12020;1996 XW19;1996 XW19;V;A;S;C;;3.29;T;14.78;;A;;0.2;;9.935;;;;;0.15;2;;;;;;Y
12088;Macalintal;1998 HZ31;V;A;S;C;;4.01;T;14.35;;A;;0.2;;3.342;;;;0.44;0.57;2;;;;Y;;Y
12097;1998 HG121;1998 HG121;V;A;S;C;;4.56;T;14.07;;A;;0.2;;6.85;;;;;0.42;2;;;;Y;;Y
12405;Nespoli;1995 RK;V;A;S;C;;2.44;T;15.43;;A;;0.2;;13.218;;;;;0.67;2;;;;;;Y
12419;1995 UP4;1995 UP4;V;A;S;C;;4.75;T;13.98;;A;;0.2;;22.897;;;;;0.26;2;;;;;;Y
12421;* Zhenya;1995 UH5;V;A;S;C;;4.3;M;14.2;;A;;0.2;S;7.7052;;;;;;2;N;;;Y;;
12527;Anneraugh;1998 JE3;V;A;S;C;;4.71;M;14;;A;;0.2;;7.613;;;;;0.1;2;-;;;;;Y
12551;1998 QQ39;1998 QQ39;V;A;S;C;;7.13;M;13.1;;A;;0.2;;11.202;;;;;0.95;3;;;;Y;;
12584;Zeljkoandr;eic                  1999 RF36;V;A;S;C;;2.99;T;14.99;;A;;0.2;;7.071;;;;;0.19;2;;;;;;Y
12591;* 1999 RT133;1999 RT133;V;A;S;C;;4.93;M;13.9;;A;;0.2;S;18.4175;;;;;;2;N;;;Y;;
12619;Anubelshun;u                    6242 P-L;V;A;S;C;;3.1;T;14.91;;A;;0.2;;5.847;;;;;0.58;2;;;;;;Y
12675;Chabot;1980 TA4;V;A;S;C;;4.65;T;14.03;;A;;0.2;;3.182;;;;;0.15;2;;;;;;Y
12963;5485 T-2;5485 T-2;V;A;S;C;;4.46;T;14.12;;A;;0.2;;11.004;;;;;0.07;1;;;;;;Y
12982;1979 MS5;1979 MS5;V;A;S;C;;2.39;T;15.47;;A;;0.2;;601.869;;;;;0.86;2;;;;;;Y
13002;1982 BJ13;1982 BJ13;V;A;S;C;;5.16;M;13.8;;A;;0.2;;;;;;;;;;;Y;Y;;
13058;Alfredstev;ens                  1990 WN3;V;A;S;C;;3.06;T;14.93;;A;;0.2;;4.299;;;;;0.45;2;;;;;;Y
13258;Bej;1998 QT12;V;A;S;C;;3.99;T;14.36;;A;;0.2;;4.59;;;;;0.23;2;;;;;;Y
13262;1998 QF17;1998 QF17;V;A;S;C;;3.71;T;14.52;;A;;0.2;;8.35;;;;;0.48;2;;;;;;Y
13698;1998 KF35;1998 KF35;V;A;S;C;;5.43;T;13.69;;A;;0.2;;83.506;;;;;0.35;2;;;;;;Y
13732;Woodall;1998 RC56;V;A;S;C;;3.92;M;14.4;;A;;0.2;;8.2987;;;;;0.27;3;;;;;;
