NUMBER;NAME;DESIG;FAM;S;CLASS;S;F;DIA.;S;H;B;S;F;ALBEDO;F;PERIOD;P;DESC;F;AMIN;AMAX;U;NOTES;BIN;PRI;SAM;SD;WF
4927;O'Connell;1982 UP2;KOR;A;S;C;;6.21;M;13.2;;A;;0.24;;9.78;;;;;0.1;1;+;;;;;Y
5139;Rumoi;1990 VH4;KOR;A;S;C;;10.8;M;12;;A;;0.24;;3.257;;;;;0.4;3;;;;;;
5338;Michelblan;c                    1991 RJ5;KOR;A;S;C;;8.19;M;12.6;;A;;0.24;;2.879;;;;;0.18;2;-;;;;;
5414;* Sokolov;1977 RW6;KOR;A;S;C;;7.47;M;12.8;;A;;0.24;S;27.2478;;;;;;2;N;;;Y;;
5494;Johanmohr;1933 UM1;KOR;A;S;C;;6.6;T;13.07;;A;;0.24;;5.727;;;;;0.98;2;;;;Y;Y;
5523;Luminet;1991 PH8;KOR;A;S;C;;7.13;M;12.9;;A;;0.24;;53.326;;;;;0.31;2;;;;;;Y
5582;1989 CU8;1989 CU8;KOR;A;S;C;;7.47;M;12.8;;A;;0.24;;4.5;;;;;0.23;2;;;;;;Y
5677;Aberdonia;1987 SQ1;KOR;A;S;C;;8.19;M;12.6;;A;;0.24;;5.081;;;;;0.2;2;;;;;;Y
5759;Zoshchenko;1980 BJ4;KOR;A;S;C;;6.81;M;13;;A;;0.24;;4.203;;;;0.55;0.61;2;;;;;;Y
5941;Valencia;1982 UQ6;KOR;A;S;C;;6.81;M;13;;A;;0.24;;10.16;;;;;1.1;2;;;;;;Y
6026;Xenophanes;1993 BA8;KOR;A;S;C;;6.59;T;13.07;;A;;0.24;;4.49;;;;0.39;0.4;2;;;;Y;;Y
6210;Hyunseop;1991 AX1;KOR;A;S;C;;6.73;T;13.03;;A;;0.24;;2.918;;;;;0.25;2;;;;;;Y
6262;Javid;1978 RZ;KOR;A;S;C;;7.82;M;12.7;;A;;0.24;;8.02;;;;0.45;0.49;3;;;;Y;;
6276;Kurohone;1994 AB;KOR;A;S;C;;5.21;T;13.58;;A;;0.24;;6.345;;;;0.85;0.87;2;;;;Y;Y;
6457;* Kremsmunst;er                   1992 RT;KOR;A;S;C;;5.93;M;13.3;;A;;0.24;S;3.8678;;;;;;2;N;;;Y;;
6538;Muraviov;1981 SA5;KOR;A;S;C;;8.58;M;12.5;;A;;0.24;;2.9759;;;;;0.24;2;+;;;;;
6778;Tosamakoto;1989 TX10;KOR;A;S;C;;7.47;M;12.8;;A;;0.24;>;6;;;>;;0.08;2;;;;;;
6829;Charmawido;r                    1991 BM1;KOR;A;S;C;;5.6;T;13.43;;A;;0.24;;27.824;;;;;0.28;2;;;;;;Y
6980;Kyusakamot;o                    1993 SV1;KOR;A;S;C;;8.98;M;12.4;;A;;0.24;;3.253;;;;0.4;0.41;2;;;;;;Y
7028;Tachikawa;1993 XC1;KOR;A;S;C;;6.13;T;13.23;;A;;0.24;;10.489;;;;0.23;0.24;2;;;;;;Y
7120;Davidgavin;e                    1989 AD3;KOR;A;S;C;;5.31;T;13.54;;A;;0.24;;2.868;;;;;0.18;2;;;;;;Y
7210;Darius;6555 P-L;KOR;A;S;C;;6.82;T;13;;A;;0.24;;6.237;;;;;0.29;2;;;;;;Y
7244;Villa-Lobo;s                    1991 PQ1;KOR;A;S;C;;5.34;T;13.53;;A;;0.24;;35.029;;;;0.5;0.83;2;;;;;;Y
7340;1991 UA2;1991 UA2;KOR;A;S;C;;3.9;T;14.21;;A;;0.24;;10.697;;;;;0.76;2;;;;;;Y
7372;Emimar;1979 HH;KOR;A;S;C;;6.48;T;13.11;;A;;0.24;;2.564;;;;;0.19;2;;;;;;Y
7429;Hoshikawa;1992 YB1;KOR;A;S;C;;8.19;M;12.6;;A;;0.24;>;20;;;>;;0.65;2;;;;;;
7584;Ossietzky;1991 GK10;KOR;A;S;C;;5.2;T;13.59;;A;;0.24;;2.726;;;;;0.21;2;;;;;;Y
7923;Chyba;1983 WJ;KOR;A;S;C;;6.51;M;13.1;;A;;0.24;;5.716;;;;0.19;0.23;2;;;;;;Y
8102;Yoshikazu;1994 AQ2;KOR;A;S;C;;5.41;M;13.5;;A;;0.24;;3.34;;;;;0.28;1;+;;;;;Y
8183;1992 UE3;1992 UE3;KOR;A;S;M;;5.93;M;13.3;;A;;0.24;>;1.97;;;>;;0.05;;;;;;Y;
8234;Nobeoka;1997 VK8;KOR;A;S;C;;6.81;M;13;;A;;0.24;;33.09;;;;;0.49;2;;;;;;Y
8571;Taniguchi;1996 UX;KOR;A;S;C;;5.1;T;13.63;;A;;0.24;;5.304;;;;0.54;0.76;2;;;;;;Y
8657;Cedrus;1990 QE9;KOR;A;S;C;;4.78;T;13.77;;A;;0.24;;13.467;;;;0.67;0.8;2;;;;;;Y
8847;Huch;1990 TO3;KOR;A;S;C;;4.71;T;13.8;;A;;0.24;;5.75;;;;;0.36;2;;;;;;Y
9078;1994 PB2;1994 PB2;KOR;A;S;C;;5.57;T;13.44;;A;;0.24;;45.65;;;;;0.44;2;;;;;;Y
9105;Matsumura;1997 AU;KOR;A;S;C;;4.5;M;13.9;;A;;0.24;;4.769;;;;;1;3;H;;;;;Y
9306;Pittosporu;m                    1987 CG;KOR;A;S;C;;6.06;T;13.26;;A;;0.24;;3.791;;;;;0.18;2;;;;;;Y
9337;1991 FO1;1991 FO1;KOR;A;S;C;;5.67;M;13.4;;A;;0.24;;3.2;;;;0.1;0.13;2;;;;;;Y
9372;Vamlingbo;1993 FK37;KOR;A;S;C;;3.79;T;14.27;;A;;0.24;;5.652;;;;;0.08;1;;;;;;Y
9379;* Dijon;1993 QH3;KOR;A;S;C;;5.67;M;13.4;;A;;0.24;S;3.2731;;;;;;2;N;;;Y;;
9405;Johnratje;1994 WQ1;KOR;A;S;C;;5.93;M;13.3;;A;;0.24;;3.2519;;;;;0.41;3;;;;;;
9528;Kuppers;1981 EH24;KOR;A;S;C;;2.59;T;15.1;;A;;0.24;;4.66;;;;;0.22;2;;;;;;Y
9726;Verbiscer;1981 EY19;KOR;A;S;C;;3.75;M;14.3;;A;;0.24;;5.551;;;;0.27;0.28;2;;;;;;Y
9757;Felixdejag;er                   1991 GA6;KOR;A;S;C;;4.94;T;13.7;;A;;0.24;;3.11;;;;;0.18;2;;;;;;Y
9795;Deprez;1996 GJ19;KOR;A;S;C;;3.14;T;14.68;;A;;0.24;;4.12;;;;;0.34;2;;;;;;Y
9910;Vogelweide;3181 T-2;KOR;A;S;C;;4.94;M;13.7;;A;;0.24;;118.905;;;;0.67;0.74;2;;;;;;Y
9916;Kibirev;1978 TR2;KOR;A;S;C;;5.49;T;13.47;;A;;0.24;;15.171;;;;0.36;0.45;2;;;;;;Y
9999;Wiles;4196 T-2;KOR;A;S;C;;5.78;T;13.36;;A;;0.24;;3.482;;;;0.13;0.15;2;;;;;;Y
10025;Rauer;1980 FO1;KOR;A;S;C;;6.73;T;13.03;;A;;0.24;;4.451;;;;0.48;0.51;2;;;;;;Y
10052;1987 SM12;1987 SM12;KOR;A;S;C;;5.32;T;13.54;;A;;0.24;;4.068;;;;;0.24;2;;;;;;Y
10240;1998 VW34;1998 VW34;KOR;A;S;C;;4.15;T;14.08;;A;;0.24;;18.872;;;;;0.08;1;;;;;;Y
10252;Heidigraf;4164 T-1;KOR;A;S;C;;5.15;T;13.61;;A;;0.24;;;;;;;0.56;;;;;;;Y
10704;1981 RQ1;1981 RQ1;KOR;A;S;C;;6.21;M;13.2;;A;;0.24;;7.507;;;;;0.7;3;;;;;;
10907;Savalle;1997 XG5;KOR;A;S;C;;3.92;M;14.2;;A;;0.24;;6.082;;;;;0.07;2;-;;;;;
11372;1998 QP41;1998 QP41;KOR;A;S;C;;4.09;T;14.11;;A;;0.24;;3.17;;;;;0.14;2;;;;;;Y
11762;Vogel;6044 P-L;KOR;A;S;C;;5.22;T;13.58;;A;;0.24;;6.218;;;;;0.53;2;;;;;;Y
11763;Deslandres;6303 P-L;KOR;A;S;C;;3.26;T;14.6;;A;;0.24;;3.6;;;;;0.61;2;;;;;;Y
12186;Mitukurige;n                    1977 ER5;KOR;A;S;C;;3.88;T;14.22;;A;;0.24;;11.197;;;;;0.29;2;;;;;;Y
12540;Picander;1998 OU9;KOR;A;S;C;;5.38;T;13.51;;A;;0.24;;3.546;;;;;0.67;2;;;;;;Y
12564;Ikeller;1998 SO49;KOR;A;S;C;;5.17;M;13.6;;A;;0.24;;7.042;;;;0.35;0.44;2;;;;;;Y
12815;1996 DL2;1996 DL2;KOR;A;S;C;;5.67;M;13.4;;A;;0.24;;15.8;;;;;0.5;1;#NAME?;;;;;
12838;Adamsmith;1997 EL55;KOR;A;S;C;;6.16;T;13.22;;A;;0.24;;10.909;;;;;0.48;2;;;;;;Y
12984;Lowry;1979 QF2;KOR;A;S;C;;3.96;T;14.18;;A;;0.24;;5.19;;;;;0.29;2;;;;;;Y
12991;1981 EN21;1981 EN21;KOR;A;S;C;;3.66;T;14.35;;A;;0.24;;3.44;;;;;0.24;2;;;;;;Y
13206;Baer;1997 GC22;KOR;A;S;C;;2.85;T;14.89;;A;;0.24;;3.42;;;;;0.23;2;;;;;;Y
13266;1998 QY30;1998 QY30;KOR;A;S;C;;3.76;T;14.29;;A;;0.24;;4.854;;;;;0.64;2;;;;;;Y
13828;1999 WL6;1999 WL6;KOR;A;S;C;;2.53;T;15.15;;A;;0.24;;22.369;;;;;0.08;1;;;;;;Y
14246;2000 AN50;2000 AN50;KOR;A;S;C;;5.2;T;13.59;;A;;0.24;;5.774;;;;;0.7;2;;;;;;Y
14382;Woszczyk;1990 ES6;KOR;A;S;C;;5.93;M;13.3;;A;;0.24;;6.577;;;;0.29;0.31;2;;;;;;Y
14768;1238 T-1;1238 T-1;KOR;A;S;C;;2.55;T;15.14;;A;;0.24;;9.339;;;;0.46;0.52;2;;;;;;Y
14779;3072 T-2;3072 T-2;KOR;A;S;C;;4.79;T;13.77;;A;;0.24;;35.071;;;;0.5;0.64;2;;;;;;Y
14985;1997 UU2;1997 UU2;KOR;A;S;C;;4.75;T;13.78;;A;;0.24;;13.792;;;;0.13;0.16;2;;;;;;Y
15195;2407 T-3;2407 T-3;KOR;A;S;C;;2.53;T;15.15;;A;;0.24;;13.315;;;;0.41;0.42;2;;;;;;Y
15277;1991 PC7;1991 PC7;KOR;A;S;C;;4.94;M;13.7;;A;;0.24;;2.75;;;;;0.33;2;-;;;;;Y
15421;Adammalin;1998 HM81;KOR;A;S;C;;2.95;T;14.82;;A;;0.24;;7.538;;;;;0.35;2;;;;;;Y
15460;Manca;1998 YD10;KOR;A;S;C;;5.17;M;13.6;;A;;0.24;;7.272;;;;;0.22;2;;;;;;Y
15468;Mondriaan;1999 AT31;KOR;A;S;C;;4.3;T;14;;A;;0.24;;2.64;;;;;0.1;2;;;;;;Y
16164;Yangli;2000 AO69;KOR;A;S;C;;3.25;T;14.61;;A;;0.24;>;20;;;>;;0.35;2;-;;;;;Y
16204;2000 CT33;2000 CT33;KOR;A;S;C;;3.27;T;14.6;;A;;0.24;;4.21;;;;0.45;0.49;2;;;;;;Y
16227;* 2000 DY73;2000 DY73;KOR;A;S;C;;4.71;M;13.8;;A;;0.24;S;3.557;;;;;;2;N;;;Y;;
16326;2052 T-2;2052 T-2;KOR;A;S;C;;4.39;T;13.96;;A;;0.24;;2.883;;;;0.25;0.28;2;;;;;;Y
16483;1990 QX8;1990 QX8;KOR;A;S;C;;4.44;T;13.93;;A;;0.24;;12.032;;;;;0.17;2;;;;;;Y
16484;1990 QJ9;1990 QJ9;KOR;A;S;C;;4.94;M;13.7;;A;;0.24;>;24;;;>;;0.5;;;;;;;Y
